items	num_genomes_gene_cluster_has_hits	num_genes_in_gene_cluster	max_num_paralogs
GC_00001071	24	24	1
GC_00001072	24	24	1
GC_00001073	24	24	1
GC_00001074	24	24	1
GC_00001075	24	24	1
GC_00001076	24	24	1
GC_00001077	24	24	1
GC_00001078	24	24	1
GC_00001079	24	24	1
GC_00001080	24	24	1
GC_00001081	24	24	1
GC_00001082	24	24	1
GC_00001083	24	24	1
GC_00001084	24	24	1
GC_00001085	24	24	1
GC_00001086	24	24	1
GC_00001087	24	24	1
GC_00001088	24	24	1
GC_00001089	24	24	1
GC_00001090	24	24	1
GC_00001091	24	24	1
GC_00001092	24	24	1
GC_00001093	24	24	1
GC_00001094	24	24	1
GC_00001095	24	24	1
GC_00001096	24	24	1
GC_00001097	24	24	1
GC_00001098	24	24	1
GC_00001099	24	24	1
GC_00001100	24	24	1
GC_00001101	24	24	1
GC_00001102	24	24	1
GC_00001103	24	24	1
GC_00001104	24	24	1
GC_00001105	24	24	1
GC_00001106	24	24	1
GC_00001107	24	24	1
GC_00001108	24	24	1
GC_00001109	24	24	1
GC_00001110	24	24	1
GC_00001111	24	24	1
GC_00001112	24	24	1
GC_00001113	24	24	1
GC_00001114	24	24	1
GC_00001115	24	24	1
GC_00001116	24	24	1
GC_00001117	24	24	1
GC_00001118	24	24	1
GC_00001119	24	24	1
GC_00001120	24	24	1
GC_00001121	24	24	1
GC_00001122	24	24	1
GC_00001123	24	24	1
GC_00001124	24	24	1
GC_00001125	24	24	1
GC_00001126	24	24	1
GC_00001127	24	24	1
GC_00001128	24	24	1
GC_00001129	24	24	1
GC_00001130	24	24	1
GC_00001131	24	24	1
GC_00001132	24	24	1
GC_00001133	24	24	1
GC_00001134	24	24	1
GC_00001135	24	24	1
GC_00001136	24	24	1
GC_00001137	24	24	1
GC_00001138	24	24	1
GC_00001139	24	24	1
GC_00001140	24	24	1
GC_00001141	24	24	1
GC_00001142	24	24	1
GC_00001143	24	24	1
GC_00001144	24	24	1
GC_00001145	24	24	1
GC_00001146	24	24	1
GC_00001147	24	24	1
GC_00001148	24	24	1
GC_00001149	24	24	1
GC_00001150	24	24	1
GC_00001151	24	24	1
GC_00001152	24	24	1
GC_00001153	24	24	1
GC_00001154	24	24	1
GC_00001155	24	24	1
GC_00001156	24	24	1
GC_00001157	24	24	1
GC_00001158	24	24	1
GC_00001159	24	24	1
GC_00001160	24	24	1
GC_00001161	24	24	1
GC_00001162	24	24	1
GC_00001163	24	24	1
GC_00001164	24	24	1
GC_00001165	24	24	1
GC_00001166	24	24	1
GC_00001167	24	24	1
GC_00001168	24	24	1
GC_00001169	24	24	1
GC_00001170	24	24	1
GC_00001171	24	24	1
GC_00001172	24	24	1
GC_00001173	24	24	1
GC_00001174	24	24	1
GC_00001175	24	24	1
GC_00001176	24	24	1
GC_00001177	24	24	1
GC_00001178	24	24	1
GC_00001179	24	24	1
GC_00001180	24	24	1
GC_00001181	24	24	1
GC_00001182	24	24	1
GC_00001183	24	24	1
GC_00001184	24	24	1
GC_00001185	24	24	1
GC_00001186	24	24	1
GC_00001187	24	24	1
GC_00001188	24	24	1
GC_00001189	24	24	1
GC_00001190	24	24	1
GC_00001191	24	24	1
GC_00001192	24	24	1
GC_00001193	24	24	1
GC_00001194	24	24	1
GC_00001195	24	24	1
GC_00001196	24	24	1
GC_00001197	24	24	1
GC_00001198	24	24	1
GC_00001199	24	24	1
GC_00001200	24	24	1
GC_00001201	24	24	1
GC_00001202	24	24	1
GC_00001203	24	24	1
GC_00001204	24	24	1
GC_00001205	24	24	1
GC_00001206	24	24	1
GC_00001207	24	24	1
GC_00001208	24	24	1
GC_00001209	24	24	1
GC_00001210	24	24	1
GC_00001211	24	24	1
GC_00001212	24	24	1
GC_00001213	24	24	1
GC_00001214	24	24	1
GC_00001215	24	24	1
GC_00001216	24	24	1
GC_00001217	24	24	1
GC_00001218	24	24	1
GC_00001219	24	24	1
GC_00001220	24	24	1
GC_00001221	24	24	1
GC_00001222	24	24	1
GC_00001223	24	24	1
GC_00001224	24	24	1
GC_00001225	24	24	1
GC_00001226	24	24	1
GC_00001227	24	24	1
GC_00001228	24	24	1
GC_00001229	24	24	1
GC_00001230	24	24	1
GC_00001231	24	24	1
GC_00001232	24	24	1
GC_00001233	24	24	1
GC_00001234	24	24	1
GC_00001235	24	24	1
GC_00001236	24	24	1
GC_00001237	24	24	1
GC_00001238	24	24	1
GC_00001239	24	24	1
GC_00001240	24	24	1
GC_00001241	24	24	1
GC_00001242	24	24	1
GC_00001243	24	24	1
GC_00001244	24	24	1
GC_00001245	24	24	1
GC_00001246	24	24	1
GC_00001247	24	24	1
GC_00001248	24	24	1
GC_00001249	24	24	1
GC_00001250	24	24	1
GC_00001251	24	24	1
GC_00001252	24	24	1
GC_00001253	24	24	1
GC_00001254	24	24	1
GC_00001255	24	24	1
GC_00001256	24	24	1
GC_00001257	24	24	1
GC_00001258	24	24	1
GC_00001259	24	24	1
GC_00001260	24	24	1
GC_00001261	24	24	1
GC_00001262	24	24	1
GC_00001263	24	24	1
GC_00001264	24	24	1
GC_00001265	24	24	1
GC_00001266	24	24	1
GC_00001267	24	24	1
GC_00001268	24	24	1
GC_00001269	24	24	1
GC_00001270	24	24	1
GC_00001271	24	24	1
GC_00001272	24	24	1
GC_00001273	24	24	1
GC_00001274	24	24	1
GC_00001275	24	24	1
GC_00001276	24	24	1
GC_00001277	24	24	1
GC_00001278	24	24	1
GC_00001279	24	24	1
GC_00001280	24	24	1
GC_00001281	24	24	1
GC_00001282	24	24	1
GC_00001283	24	24	1
GC_00001284	24	24	1
GC_00001285	24	24	1
GC_00001286	24	24	1
GC_00001287	24	24	1
GC_00001288	24	24	1
GC_00001289	24	24	1
GC_00001290	24	24	1
GC_00001291	24	24	1
GC_00001292	24	24	1
GC_00001293	24	24	1
GC_00001294	24	24	1
GC_00001295	24	24	1
GC_00001296	24	24	1
GC_00001297	24	24	1
GC_00001298	24	24	1
GC_00001299	24	24	1
GC_00001300	24	24	1
GC_00001301	24	24	1
GC_00001302	24	24	1
GC_00001303	24	24	1
GC_00001304	24	24	1
GC_00001305	24	24	1
GC_00001306	24	24	1
GC_00001307	24	24	1
GC_00001308	24	24	1
GC_00001309	24	24	1
GC_00001310	24	24	1
GC_00001311	24	24	1
GC_00001312	24	24	1
GC_00001313	24	24	1
GC_00001314	24	24	1
GC_00001315	24	24	1
GC_00001316	24	24	1
GC_00001317	24	24	1
GC_00001318	24	24	1
GC_00001319	24	24	1
GC_00001320	24	24	1
GC_00001321	24	24	1
GC_00001322	24	24	1
GC_00001323	24	24	1
GC_00001324	24	24	1
GC_00001325	24	24	1
GC_00001326	24	24	1
GC_00001327	24	24	1
GC_00001328	24	24	1
GC_00001329	24	24	1
GC_00001330	24	24	1
GC_00001331	24	24	1
GC_00001332	24	24	1
GC_00001333	24	24	1
GC_00001334	24	24	1
GC_00001335	24	24	1
GC_00001336	24	24	1
GC_00001337	24	24	1
GC_00001338	24	24	1
GC_00001339	24	24	1
GC_00001340	24	24	1
GC_00001341	24	24	1
GC_00001342	24	24	1
GC_00001343	24	24	1
GC_00001344	24	24	1
GC_00001345	24	24	1
GC_00001346	24	24	1
GC_00001347	24	24	1
GC_00001348	24	24	1
GC_00001349	24	24	1
GC_00001350	24	24	1
GC_00001351	24	24	1
GC_00001352	24	24	1
GC_00001353	24	24	1
GC_00001354	24	24	1
GC_00001355	24	24	1
GC_00001356	24	24	1
GC_00001357	24	24	1
GC_00001358	24	24	1
GC_00001359	24	24	1
GC_00001360	24	24	1
GC_00001361	24	24	1
GC_00001362	24	24	1
GC_00001363	24	24	1
GC_00001364	24	24	1
GC_00001365	24	24	1
GC_00001366	24	24	1
GC_00001367	24	24	1
GC_00001368	24	24	1
GC_00001369	24	24	1
GC_00001370	24	24	1
GC_00001371	24	24	1
GC_00001372	24	24	1
GC_00001373	24	24	1
GC_00001374	24	24	1
GC_00001375	24	24	1
GC_00001376	24	24	1
GC_00001377	24	24	1
GC_00001378	24	24	1
GC_00001379	24	24	1
GC_00001380	24	24	1
GC_00001381	24	24	1
GC_00001382	24	24	1
GC_00001383	24	24	1
GC_00001384	24	24	1
GC_00001385	24	24	1
GC_00001386	24	24	1
GC_00001387	24	24	1
GC_00001388	24	24	1
GC_00001389	24	24	1
GC_00001390	24	24	1
GC_00001391	24	24	1
GC_00001392	24	24	1
GC_00001393	24	24	1
GC_00001394	24	24	1
GC_00001395	24	24	1
GC_00001396	24	24	1
GC_00001397	24	24	1
GC_00001398	24	24	1
GC_00001399	24	24	1
GC_00001400	24	24	1
GC_00001401	24	24	1
GC_00001402	24	24	1
GC_00001403	24	24	1
GC_00001404	24	24	1
GC_00001405	24	24	1
GC_00001406	24	24	1
GC_00001407	24	24	1
GC_00001408	24	24	1
GC_00001409	24	24	1
GC_00001410	24	24	1
GC_00001411	24	24	1
GC_00001412	24	24	1
GC_00001413	24	24	1
GC_00001414	24	24	1
GC_00001415	24	24	1
GC_00001416	24	24	1
GC_00001417	24	24	1
GC_00001418	24	24	1
GC_00001419	24	24	1
GC_00001420	24	24	1
GC_00001421	24	24	1
GC_00001422	24	24	1
GC_00001423	24	24	1
GC_00001424	24	24	1
GC_00001425	24	24	1
GC_00001426	24	24	1
GC_00001427	24	24	1
GC_00001428	24	24	1
GC_00001429	24	24	1
GC_00001430	24	24	1
GC_00001431	24	24	1
GC_00001432	24	24	1
GC_00001433	24	24	1
GC_00001434	24	24	1
GC_00001435	24	24	1
GC_00001436	24	24	1
GC_00001437	24	24	1
GC_00001438	24	24	1
GC_00001439	24	24	1
GC_00001440	24	24	1
GC_00001441	24	24	1
GC_00001442	24	24	1
GC_00001443	24	24	1
GC_00001444	24	24	1
GC_00001445	24	24	1
GC_00001446	24	24	1
GC_00001447	24	24	1
GC_00001448	24	24	1
GC_00001449	24	24	1
GC_00001450	24	24	1
GC_00001451	24	24	1
GC_00001452	24	24	1
GC_00001453	24	24	1
GC_00001454	24	24	1
GC_00001455	24	24	1
GC_00001456	24	24	1
GC_00001457	24	24	1
GC_00001458	24	24	1
GC_00001459	24	24	1
GC_00001460	24	24	1
GC_00001461	24	24	1
GC_00001462	24	24	1
GC_00001463	24	24	1
GC_00001464	24	24	1
GC_00001465	24	24	1
GC_00001466	24	24	1
GC_00001467	24	24	1
GC_00001468	24	24	1
GC_00001469	24	24	1
GC_00001470	24	24	1
GC_00001471	24	24	1
GC_00001472	24	24	1
GC_00001473	24	24	1
GC_00001474	24	24	1
GC_00001475	24	24	1
GC_00001476	24	24	1
GC_00001477	24	24	1
GC_00001478	24	24	1
GC_00001479	24	24	1
GC_00001480	24	24	1
GC_00001481	24	24	1
GC_00001482	24	24	1
GC_00001483	24	24	1
GC_00001484	24	24	1
GC_00001485	24	24	1
GC_00001486	24	24	1
GC_00001487	24	24	1
GC_00001488	24	24	1
GC_00001489	24	24	1
GC_00001490	24	24	1
GC_00001491	24	24	1
GC_00001492	24	24	1
GC_00001493	24	24	1
GC_00001494	24	24	1
GC_00001495	24	24	1
GC_00001496	24	24	1
GC_00001497	24	24	1
GC_00001498	24	24	1
GC_00001499	24	24	1
GC_00001500	24	24	1
GC_00001501	24	24	1
GC_00001502	24	24	1
GC_00001503	24	24	1
GC_00001504	24	24	1
GC_00001505	24	24	1
GC_00001506	24	24	1
GC_00001507	24	24	1
GC_00001508	24	24	1
GC_00001509	24	24	1
GC_00001510	24	24	1
GC_00001511	24	24	1
GC_00001512	24	24	1
GC_00001513	24	24	1
GC_00001514	24	24	1
GC_00001515	24	24	1
GC_00001516	24	24	1
GC_00001517	24	24	1
GC_00001518	24	24	1
GC_00001519	24	24	1
GC_00001520	24	24	1
GC_00001521	24	24	1
GC_00001522	24	24	1
GC_00001523	24	24	1
GC_00001524	24	24	1
GC_00001525	24	24	1
GC_00001526	24	24	1
GC_00001527	24	24	1
GC_00001528	24	24	1
GC_00001529	24	24	1
GC_00001530	24	24	1
GC_00001531	24	24	1
GC_00001532	24	24	1
GC_00001533	24	24	1
GC_00001534	24	24	1
GC_00001535	24	24	1
GC_00001536	24	24	1
GC_00001537	24	24	1
GC_00001538	24	24	1
GC_00001539	24	24	1
GC_00001540	24	24	1
GC_00001541	24	24	1
GC_00001542	24	24	1
GC_00001543	24	24	1
GC_00001544	24	24	1
GC_00001545	24	24	1
GC_00001546	24	24	1
GC_00001547	24	24	1
GC_00001548	24	24	1
GC_00001549	24	24	1
GC_00001550	24	24	1
GC_00001551	24	24	1
GC_00001552	24	24	1
GC_00001553	24	24	1
GC_00001554	24	24	1
GC_00001555	24	24	1
GC_00001556	24	24	1
GC_00001557	24	24	1
GC_00001558	24	24	1
GC_00001559	24	24	1
GC_00001560	24	24	1
GC_00001561	24	24	1
GC_00001562	24	24	1
GC_00001563	24	24	1
GC_00001564	24	24	1
GC_00001565	24	24	1
GC_00001566	24	24	1
GC_00001567	24	24	1
GC_00001568	24	24	1
GC_00001569	24	24	1
GC_00001570	24	24	1
GC_00001571	24	24	1
GC_00001572	24	24	1
GC_00001573	24	24	1
GC_00001574	24	24	1
GC_00001575	24	24	1
GC_00001576	24	24	1
GC_00001577	24	24	1
GC_00001578	24	24	1
GC_00001579	24	24	1
GC_00001580	24	24	1
GC_00001581	24	24	1
GC_00001582	24	24	1
GC_00001583	24	24	1
GC_00001584	24	24	1
GC_00001585	24	24	1
GC_00001586	24	24	1
GC_00001587	24	24	1
GC_00001588	24	24	1
GC_00001589	24	24	1
GC_00001590	24	24	1
GC_00001591	24	24	1
GC_00001592	24	24	1
GC_00001593	24	24	1
GC_00001594	24	24	1
GC_00001595	24	24	1
GC_00001596	24	24	1
GC_00001597	24	24	1
GC_00001598	24	24	1
GC_00001599	24	24	1
GC_00001600	24	24	1
GC_00001601	24	24	1
GC_00001602	24	24	1
GC_00001603	24	24	1
GC_00001604	24	24	1
GC_00001605	24	24	1
GC_00001606	24	24	1
GC_00001607	24	24	1
GC_00001608	24	24	1
GC_00001609	24	24	1
GC_00001610	24	24	1
GC_00001611	24	24	1
GC_00001612	24	24	1
GC_00001613	24	24	1
GC_00001614	24	24	1
GC_00001615	24	24	1
GC_00001616	24	24	1
GC_00001617	24	24	1
GC_00001618	24	24	1
GC_00001619	24	24	1
GC_00001620	24	24	1
GC_00001621	24	24	1
GC_00001622	24	24	1
GC_00001623	24	24	1
GC_00001624	24	24	1
GC_00001625	24	24	1
GC_00001626	24	24	1
GC_00001627	24	24	1
GC_00001628	24	24	1
GC_00001629	24	24	1
GC_00001630	24	24	1
GC_00001631	24	24	1
GC_00001632	24	24	1
GC_00001633	24	24	1
GC_00001634	24	24	1
GC_00001635	24	24	1
GC_00001636	24	24	1
GC_00001637	24	24	1
GC_00001638	24	24	1
GC_00001639	24	24	1
GC_00001640	24	24	1
GC_00001641	24	24	1
GC_00001642	24	24	1
GC_00001643	24	24	1
GC_00001644	24	24	1
GC_00001645	24	24	1
GC_00001646	24	24	1
GC_00001647	24	24	1
GC_00001648	24	24	1
GC_00001649	24	24	1
GC_00001650	24	24	1
GC_00001651	24	24	1
GC_00001652	24	24	1
GC_00001653	24	24	1
GC_00001654	24	24	1
GC_00001655	24	24	1
GC_00001656	24	24	1
GC_00001657	24	24	1
GC_00001658	24	24	1
GC_00001659	24	24	1
GC_00001660	24	24	1
GC_00001661	24	24	1
GC_00001662	24	24	1
GC_00001663	24	24	1
GC_00001664	24	24	1
GC_00001665	24	24	1
GC_00001666	24	24	1
GC_00001667	24	24	1
GC_00001668	24	24	1
GC_00001669	24	24	1
GC_00001670	24	24	1
GC_00001671	24	24	1
GC_00001672	24	24	1
GC_00001673	24	24	1
GC_00001674	24	24	1
GC_00001675	24	24	1
GC_00001676	24	24	1
GC_00001677	24	24	1
GC_00001678	24	24	1
GC_00001679	24	24	1
GC_00001680	24	24	1
GC_00001681	24	24	1
GC_00001682	24	24	1
GC_00001683	24	24	1
GC_00001684	24	24	1
GC_00001685	24	24	1
GC_00001686	24	24	1
GC_00001687	24	24	1
GC_00001688	24	24	1
GC_00001689	24	24	1
GC_00001690	24	24	1
GC_00001691	24	24	1
GC_00001692	24	24	1
GC_00001693	24	24	1
GC_00001694	24	24	1
GC_00001695	24	24	1
GC_00001696	24	24	1
GC_00001697	24	24	1
GC_00001698	24	24	1
GC_00001699	24	24	1
GC_00001700	24	24	1
GC_00001701	24	24	1
GC_00001702	24	24	1
GC_00001703	24	24	1
GC_00001704	24	24	1
GC_00001705	24	24	1
GC_00001706	24	24	1
GC_00001707	24	24	1
GC_00001708	24	24	1
GC_00001709	24	24	1
GC_00001710	24	24	1
GC_00001711	24	24	1
GC_00001712	24	24	1
GC_00001713	24	24	1
GC_00001714	24	24	1
GC_00001715	24	24	1
GC_00001716	24	24	1
GC_00001717	24	24	1
GC_00001718	24	24	1
GC_00001719	24	24	1
GC_00001720	24	24	1
GC_00001721	24	24	1
GC_00001722	24	24	1
GC_00001723	24	24	1
GC_00001724	24	24	1
GC_00001725	24	24	1
GC_00001726	24	24	1
GC_00001727	24	24	1
GC_00001728	24	24	1
GC_00001729	24	24	1
GC_00001730	24	24	1
GC_00001731	24	24	1
GC_00001732	24	24	1
GC_00001733	24	24	1
GC_00001734	24	24	1
GC_00001735	24	24	1
GC_00001736	24	24	1
GC_00001737	24	24	1
GC_00001738	24	24	1
GC_00001739	24	24	1
GC_00001740	24	24	1
GC_00001741	24	24	1
GC_00001742	24	24	1
GC_00001743	24	24	1
GC_00001744	24	24	1
GC_00001745	24	24	1
GC_00001746	24	24	1
GC_00001747	24	24	1
GC_00001748	24	24	1
GC_00001749	24	24	1
GC_00001750	24	24	1
GC_00001751	24	24	1
GC_00001752	24	24	1
GC_00001753	24	24	1
GC_00001754	24	24	1
GC_00001755	24	24	1
GC_00001756	24	24	1
GC_00001757	24	24	1
GC_00001758	24	24	1
GC_00001759	24	24	1
GC_00001760	24	24	1
GC_00001761	24	24	1
GC_00001762	24	24	1
GC_00001763	24	24	1
GC_00001764	24	24	1
GC_00001765	24	24	1
GC_00001766	24	24	1
GC_00001767	24	24	1
GC_00001768	24	24	1
GC_00001769	24	24	1
GC_00001770	24	24	1
GC_00001771	24	24	1
GC_00001772	24	24	1
GC_00001773	24	24	1
GC_00001774	24	24	1
GC_00001775	24	24	1
GC_00001776	24	24	1
GC_00001777	24	24	1
GC_00001778	24	24	1
GC_00001779	24	24	1
GC_00001780	24	24	1
GC_00001781	24	24	1
GC_00001782	24	24	1
GC_00001783	24	24	1
GC_00001784	24	24	1
GC_00001785	24	24	1
GC_00001786	24	24	1
GC_00001787	24	24	1
GC_00001788	24	24	1
GC_00001789	24	24	1
GC_00001790	24	24	1
GC_00001791	24	24	1
GC_00001792	24	24	1
GC_00001793	24	24	1
GC_00001794	24	24	1
GC_00001795	24	24	1
GC_00001796	24	24	1
GC_00001797	24	24	1
GC_00001798	24	24	1
GC_00001799	24	24	1
GC_00001800	24	24	1
GC_00001801	24	24	1
GC_00001802	24	24	1
GC_00001803	24	24	1
GC_00001804	24	24	1
GC_00001805	24	24	1
GC_00001806	24	24	1
GC_00001807	24	24	1
GC_00001808	24	24	1
GC_00001809	24	24	1
GC_00001810	24	24	1
GC_00001811	24	24	1
GC_00001812	24	24	1
GC_00001813	24	24	1
GC_00001814	24	24	1
GC_00001815	24	24	1
GC_00001816	24	24	1
GC_00001817	24	24	1
GC_00001818	24	24	1
GC_00001819	24	24	1
GC_00001820	24	24	1
GC_00001821	24	24	1
GC_00001822	24	24	1
GC_00001823	24	24	1
GC_00001824	24	24	1
GC_00001825	24	24	1
GC_00001826	24	24	1
GC_00001827	24	24	1
GC_00001828	24	24	1
GC_00001829	24	24	1
GC_00001830	24	24	1
GC_00001831	24	24	1
GC_00001832	24	24	1
GC_00001833	24	24	1
GC_00001834	24	24	1
GC_00001835	24	24	1
GC_00001836	24	24	1
GC_00001837	24	24	1
GC_00001838	24	24	1
GC_00001839	24	24	1
GC_00001840	24	24	1
GC_00001841	24	24	1
GC_00001842	24	24	1
GC_00001843	24	24	1
GC_00001844	24	24	1
GC_00001845	24	24	1
GC_00001846	24	24	1
GC_00001847	24	24	1
GC_00001848	24	24	1
GC_00001849	22	24	3
GC_00001850	24	24	1
GC_00001851	24	24	1
GC_00001852	24	24	1
GC_00001853	24	24	1
GC_00001854	24	24	1
GC_00001855	24	24	1
GC_00001856	24	24	1
GC_00001857	24	24	1
GC_00001858	24	24	1
GC_00001859	24	24	1
GC_00001860	24	24	1
GC_00001861	24	24	1
GC_00001862	24	24	1
GC_00001863	24	24	1
GC_00001864	24	24	1
GC_00001865	24	24	1
GC_00001866	24	24	1
GC_00001867	24	24	1
GC_00001868	24	24	1
GC_00001869	24	24	1
GC_00001870	24	24	1
GC_00001871	24	24	1
GC_00001872	24	24	1
GC_00001873	24	24	1
GC_00001874	24	24	1
GC_00001875	24	24	1
GC_00001876	24	24	1
GC_00001877	24	24	1
GC_00001878	24	24	1
GC_00001879	24	24	1
GC_00001880	24	24	1
GC_00001881	24	24	1
GC_00001882	24	24	1
GC_00001883	24	24	1
GC_00001884	24	24	1
GC_00001885	24	24	1
GC_00001886	24	24	1
GC_00001887	24	24	1
GC_00001888	24	24	1
GC_00001889	24	24	1
GC_00001890	24	24	1
GC_00001891	24	24	1
GC_00001892	24	24	1
GC_00001893	24	24	1
GC_00001894	24	24	1
GC_00001895	24	24	1
GC_00001896	24	24	1
GC_00001897	24	24	1
GC_00001898	24	24	1
GC_00001899	24	24	1
GC_00001900	24	24	1
GC_00001901	24	24	1
GC_00001902	24	24	1
GC_00001903	24	24	1
GC_00001904	24	24	1
GC_00001905	24	24	1
GC_00001906	24	24	1
GC_00001907	24	24	1
GC_00001908	24	24	1
GC_00001909	24	24	1
GC_00001910	24	24	1
GC_00001911	24	24	1
GC_00001912	24	24	1
GC_00001913	24	24	1
GC_00001914	24	24	1
GC_00001915	24	24	1
GC_00001916	24	24	1
GC_00001917	24	24	1
GC_00001918	24	24	1
GC_00001919	24	24	1
GC_00001920	24	24	1
GC_00001921	24	24	1
GC_00001922	24	24	1
GC_00001923	24	24	1
GC_00001924	24	24	1
GC_00001925	24	24	1
GC_00001926	24	24	1
GC_00001927	24	24	1
GC_00001928	24	24	1
GC_00001929	24	24	1
GC_00001930	24	24	1
GC_00001931	24	24	1
GC_00001932	24	24	1
GC_00001933	24	24	1
GC_00001934	24	24	1
GC_00001935	24	24	1
GC_00001936	24	24	1
GC_00001937	24	24	1
GC_00001938	24	24	1
GC_00001939	24	24	1
GC_00001940	24	24	1
GC_00001941	24	24	1
GC_00001942	24	24	1
GC_00001943	24	24	1
GC_00001944	24	24	1
GC_00001945	24	24	1
GC_00001946	24	24	1
GC_00001947	24	24	1
GC_00001948	24	24	1
GC_00001949	24	24	1
GC_00001950	24	24	1
GC_00001951	24	24	1
GC_00001952	24	24	1
GC_00001953	24	24	1
GC_00001954	24	24	1
GC_00001955	24	24	1
GC_00001956	24	24	1
GC_00001957	24	24	1
GC_00001958	24	24	1
GC_00001959	24	24	1
GC_00001960	24	24	1
GC_00001961	24	24	1
GC_00001962	24	24	1
GC_00001963	24	24	1
GC_00001964	24	24	1
GC_00001965	24	24	1
GC_00001966	24	24	1
GC_00001967	24	24	1
GC_00001968	24	24	1
GC_00001969	24	24	1
GC_00001970	24	24	1
GC_00001971	24	24	1
GC_00001972	24	24	1
GC_00001973	24	24	1
GC_00001974	24	24	1
GC_00001975	24	24	1
GC_00001976	24	24	1
GC_00001977	24	24	1
GC_00001978	24	24	1
GC_00001979	24	24	1
GC_00001980	24	24	1
GC_00001981	24	24	1
GC_00001982	24	24	1
GC_00001983	24	24	1
GC_00001984	24	24	1
GC_00001985	3	24	16
GC_00001986	24	24	1
GC_00001987	24	24	1
GC_00001988	24	24	1
GC_00001989	24	24	1
GC_00001990	24	24	1
GC_00001991	24	24	1
GC_00001992	24	24	1
GC_00001993	24	24	1
GC_00001994	24	24	1
GC_00001995	24	24	1
GC_00001996	24	24	1
GC_00001997	24	24	1
GC_00001998	24	24	1
GC_00001999	24	24	1
GC_00002000	24	24	1
GC_00002001	24	24	1
GC_00002002	24	24	1
GC_00002003	24	24	1
GC_00002004	24	24	1
GC_00002005	24	24	1
GC_00002006	24	24	1
GC_00002007	24	24	1
GC_00002008	24	24	1
GC_00002009	24	24	1
GC_00002010	24	24	1
GC_00002011	24	24	1
GC_00002012	24	24	1
GC_00002013	24	24	1
GC_00002014	24	24	1
GC_00002015	24	24	1
GC_00002016	24	24	1
GC_00002017	24	24	1
GC_00002018	24	24	1
GC_00002019	24	24	1
GC_00002020	24	24	1
GC_00002021	24	24	1
GC_00002022	24	24	1
GC_00002023	24	24	1
GC_00002024	24	24	1
GC_00002025	24	24	1
GC_00002026	24	24	1
GC_00002027	24	24	1
GC_00002028	24	24	1
GC_00002029	24	24	1
GC_00002030	24	24	1
GC_00002031	24	24	1
GC_00002032	24	24	1
GC_00002033	24	24	1
GC_00002034	24	24	1
GC_00002035	24	24	1
GC_00002036	24	24	1
GC_00002037	24	24	1
GC_00002038	24	24	1
GC_00002039	24	24	1
GC_00002040	24	24	1
GC_00002041	24	24	1
GC_00002042	24	24	1
GC_00002043	24	24	1
GC_00002044	24	24	1
GC_00002045	24	24	1
GC_00002046	24	24	1
GC_00002047	24	24	1
GC_00002048	24	24	1
GC_00002049	24	24	1
GC_00002050	24	24	1
GC_00002051	24	24	1
GC_00002052	24	24	1
GC_00002053	24	24	1
GC_00002054	24	24	1
GC_00002055	24	24	1
GC_00002056	24	24	1
GC_00002057	24	24	1
GC_00002058	24	24	1
GC_00002059	24	24	1
GC_00002060	24	24	1
GC_00002061	24	24	1
GC_00002062	24	24	1
GC_00002063	24	24	1
GC_00002064	24	24	1
GC_00002065	24	24	1
GC_00002066	24	24	1
GC_00002067	24	24	1
GC_00002068	24	24	1
GC_00002069	24	24	1
GC_00002070	24	24	1
GC_00002071	24	24	1
GC_00002072	24	24	1
GC_00002073	24	24	1
GC_00002074	24	24	1
GC_00002075	24	24	1
GC_00002076	24	24	1
GC_00002077	24	24	1
GC_00002078	24	24	1
GC_00002079	24	24	1
GC_00002080	24	24	1
GC_00002081	24	24	1
GC_00002082	24	24	1
GC_00002083	24	24	1
GC_00002084	24	24	1
GC_00002085	24	24	1
GC_00002086	24	24	1
GC_00002087	24	24	1
GC_00002088	24	24	1
GC_00002089	24	24	1
GC_00002090	24	24	1
GC_00002091	24	24	1
GC_00002092	24	24	1
GC_00002093	24	24	1
GC_00002094	24	24	1
GC_00002095	24	24	1
GC_00002096	24	24	1
GC_00002097	24	24	1
GC_00002098	24	24	1
GC_00002099	24	24	1
GC_00002100	24	24	1
GC_00002101	24	24	1
GC_00002102	24	24	1
GC_00002103	24	24	1
GC_00002104	24	24	1
GC_00002105	24	24	1
GC_00002106	24	24	1
GC_00002107	24	24	1
GC_00002108	24	24	1
GC_00002109	24	24	1
GC_00002110	24	24	1
GC_00002111	24	24	1
GC_00002112	24	24	1
GC_00002113	24	24	1
GC_00002114	24	24	1
GC_00002115	24	24	1
GC_00002116	24	24	1
GC_00002117	24	24	1
GC_00002118	24	24	1
GC_00002119	24	24	1
GC_00002120	24	24	1
GC_00002121	24	24	1
GC_00002122	24	24	1
GC_00002123	24	24	1
GC_00002124	24	24	1
GC_00002125	24	24	1
GC_00002126	24	24	1
GC_00002127	24	24	1
GC_00002128	24	24	1
GC_00002129	24	24	1
GC_00002130	24	24	1
GC_00002131	24	24	1
GC_00002132	24	24	1
GC_00002133	24	24	1
GC_00002134	24	24	1
GC_00002135	24	24	1
GC_00002136	24	24	1
GC_00002137	24	24	1
GC_00002138	24	24	1
GC_00002139	24	24	1
GC_00002140	24	24	1
GC_00002141	24	24	1
GC_00002142	24	24	1
GC_00002143	24	24	1
