enzyme	KMM289	KMM358	KMM366
K05803	1	1	1
K05805	1	1	1
K05807	1	1	1
K05808	1	1	1
K05809	1	1	1
K05810	1	1	1
K05812	2	2	2
K05820	1	1	1
K05825	1	1	1
K05834	1	1	1
K05835	2	2	2
K05836	1	1	1
K05837	1	1	1
K05838	1	1	1
K05844	1	1	1
K05851	1	1	1
K05873	1	0	0
K05878	1	1	1
K05879	1	1	1
K05880	1	1	1
K05881	1	1	1
K05896	1	1	1
K05916	1	1	1
K05952	1	1	1
K05994	1	1	1
K05995	1	1	1
K06020	1	1	1
K06024	1	1	1
K06039	1	1	1
K06041	1	1	1
K06073	1	1	1
K06074	1	1	1
K06075	1	1	1
K06076	3	3	3
K06077	3	3	3
K06078	1	1	1
K06080	1	1	1
K06131	1	1	1
K06132	1	1	1
K06133	1	1	1
K06140	1	1	1
K06142	1	1	1
K06143	1	1	1
K06145	2	2	2
K06149	2	2	2
K06153	1	1	1
K06156	1	1	1
K06158	2	2	2
K06159	1	1	1
K06168	1	1	1
K06169	1	1	1
K06173	1	1	1
K06175	1	1	1
K06176	1	1	1
K06177	3	3	3
K06178	1	1	1
K06179	1	1	1
K06180	2	2	2
K06181	1	1	1
K06182	1	1	1
K06183	1	1	1
K06186	1	1	1
K06187	1	1	1
K06188	1	1	1
K06189	1	1	1
K06190	1	1	1
K06192	2	2	2
K06193	1	1	1
K06194	1	1	1
K06195	1	1	1
K06199	1	1	1
K06200	1	1	1
K06201	1	1	1
K06202	1	1	1
K06203	1	1	1
K06204	3	3	3
K06205	2	2	2
K06206	1	1	1
K06207	1	1	1
K06212	1	1	1
K06213	2	2	2
K06214	1	1	1
K06217	1	1	1
K06218	0	1	1
K06219	1	1	1
K06222	1	0	0
K06223	1	1	1
K06281	1	1	1
K06282	1	1	1
K06287	1	1	1
K06415	1	1	1
K06445	2	2	2
K06447	1	1	1
K06518	2	2	2
K06603	0	1	1
K06726	1	1	1
K06858	1	0	0
K06859	1	0	0
K06861	1	1	1
K06864	1	1	1
K06866	1	1	1
K06871	1	1	1
K06872	1	1	1
K06876	1	1	1
K06878	2	1	1
K06879	1	1	1
K06889	0	1	1
K06891	1	1	1
K06894	1	1	1
K06895	1	1	1
K06897	1	1	1
K06899	1	1	1
K06901	3	3	3
K06911	2	2	2
K06915	1	0	0
K06916	1	1	1
K06917	1	1	1
K06918	1	1	1
K06919	1	3	3
K06920	1	1	1
K06925	1	1	1
K06927	1	1	1
K06933	1	1	1
K06938	2	1	1
K06940	2	2	2
K06941	1	1	1
K06942	1	1	1
K06949	1	1	1
K06954	1	1	1
K06956	2	2	2
K06957	1	1	1
K06958	1	1	1
K06959	1	1	1
K06966	1	1	1
K06968	1	1	1
K06969	1	1	1
K06970	1	1	1
K06975	1	1	1
K06980	1	1	1
K06985	1	1	1
K06995	1	1	1
K06996	0	1	1
K06997	1	1	1
K06998	1	0	0
K06999	2	2	2
K07000	2	2	2
K07001	6	6	6
K07002	0	1	1
K07003	1	1	1
K07004	1	1	1
K07010	1	1	1
K07014	1	1	1
K07019	1	1	1
K07020	1	1	1
K07025	2	2	2
K07027	1	1	1
K07034	1	1	1
K07038	2	2	2
K07039	0	1	1
K07040	0	1	1
K07042	1	1	1
K07043	1	1	1
K07052	1	2	2
K07053	1	1	1
K07056	1	1	1
K07058	1	1	1
K07070	1	1	1
K07071	1	1	1
K07078	1	1	1
K07080	3	3	3
K07082	1	1	1
K07084	1	1	1
K07085	2	2	2
K07086	1	1	1
K07089	1	1	1
K07090	3	3	3
K07091	1	1	1
K07095	1	1	1
K07102	1	1	1
K07107	3	3	3
K07109	1	1	1
K07112	2	2	2
K07113	1	1	1
K07114	4	4	4
K07115	1	1	1
K07118	1	1	1
K07121	1	1	1
K07122	1	1	1
K07126	4	5	5
K07136	2	2	2
K07139	1	1	1
K07140	1	1	1
K07141	1	1	1
K07147	1	1	1
K07152	1	1	1
K07153	1	1	1
K07154	1	2	2
K07157	2	2	2
K07167	1	1	1
K07173	1	1	1
K07175	1	1	1
K07178	1	1	1
K07180	1	1	1
K07181	1	1	1
K07182	1	1	1
K07184	1	1	1
K07186	1	1	1
K07213	1	1	1
K07216	1	1	1
K07219	3	3	3
K07220	1	1	1
K07223	1	1	1
K07226	1	1	1
K07227	1	1	1
K07229	1	1	1
K07234	1	1	1
K07235	1	1	1
K07236	1	1	1
K07237	1	1	1
K07238	1	1	1
K07240	1	1	1
K07243	1	1	1
K07250	1	1	1
K07251	1	1	1
K07258	2	2	2
K07259	1	1	1
K07260	1	1	1
K07261	1	1	1
K07262	2	2	2
K07263	1	1	1
K07269	1	1	1
K07270	1	1	1
K07274	1	1	1
K07275	1	1	1
K07277	1	1	1
K07278	1	1	1
K07285	1	1	1
K07286	1	1	1
K07287	1	1	1
K07289	1	1	1
K07300	1	1	1
K07301	3	2	2
K07304	1	1	1
K07305	1	1	1
K07320	1	1	1
K07323	1	1	1
K07326	1	0	0
K07334	0	1	1
K07335	1	1	1
K07337	1	1	1
K07340	1	2	2
K07346	0	1	1
K07347	0	1	1
K07386	2	2	2
K07390	1	1	1
K07391	1	1	1
K07394	1	1	1
K07396	1	1	1
K07397	1	1	1
K07400	1	1	1
K07401	1	1	1
K07402	1	1	1
K07407	1	1	1
K07443	1	1	1
K07447	1	1	1
K07448	0	2	2
K07451	0	1	1
K07452	0	1	1
K07454	0	2	2
K07459	1	2	2
K07460	1	1	1
K07461	1	1	1
K07462	1	1	1
K07478	1	1	1
K07479	1	1	1
K07481	0	1	1
K07483	8	3	3
K07486	2	2	2
K07488	0	6	6
K07491	0	1	1
K07493	0	1	1
K07495	0	3	3
K07497	9	9	9
K07504	1	0	0
K07505	0	1	1
K07506	3	2	2
K07507	1	2	2
K07552	2	2	2
K07559	1	0	0
K07560	1	1	1
K07566	2	2	2
K07568	1	1	1
K07574	1	1	1
K07636	1	1	1
K07637	2	2	2
K07638	3	3	3
K07639	1	1	1
K07640	1	1	1
K07641	1	1	1
K07645	1	1	1
K07646	1	1	1
K07647	1	1	1
K07648	1	1	1
K07649	1	1	1
K07657	1	1	1
K07659	2	2	2
K07660	1	1	1
K07661	1	1	1
K07662	1	1	1
K07663	1	1	1
K07666	1	1	1
K07667	1	1	1
K07674	1	1	1
K07675	1	1	1
K07678	1	1	1
K07679	4	4	4
K07685	1	1	1
K07686	1	1	1
K07687	1	1	1
K07689	1	1	1
K07700	1	1	1
K07708	1	1	1
K07711	1	1	1
K07712	1	1	1
K07715	1	1	1
K07726	2	2	2
K07727	3	1	1
K07729	0	1	1
K07733	2	2	2
K07734	0	1	1
K07735	1	1	1
K07738	1	1	1
K07740	1	1	1
K07741	0	1	1
K07751	2	2	2
K07772	1	1	1
K07773	1	1	1
K07774	1	1	1
K07783	2	1	1
K07784	1	1	1
K07787	1	1	1
K07791	1	1	1
K07792	1	1	1
K07793	1	1	1
K07794	1	1	1
K07795	1	1	1
K07798	1	1	1
K07810	1	1	1
K07811	1	1	1
K07812	1	1	1
K07814	4	4	4
K07862	1	1	1
K08084	3	3	3
K08086	1	1	1
K08094	0	1	1
K08154	1	1	1
K08162	2	1	1
K08163	1	1	1
K08168	1	1	1
K08177	1	1	1
K08218	1	1	1
K08224	1	1	1
K08234	1	1	1
K08276	1	1	1
K08281	1	1	1
K08289	1	1	1
K08296	1	1	1
K08300	1	1	1
K08301	1	1	1
K08302	0	1	1
K08303	1	1	1
K08304	1	1	1
K08305	2	2	2
K08306	1	1	1
K08307	2	2	2
K08309	3	3	3
K08310	1	1	1
K08311	1	1	1
K08312	1	1	1
K08315	1	1	1
K08316	1	1	1
K08325	2	2	2
K08344	1	1	1
K08475	1	0	0
K08476	1	0	0
K08478	1	0	0
K08483	1	1	1
K08484	1	1	1
K08485	1	1	1
K08591	1	1	1
K08602	1	1	1
K08604	1	1	1
K08659	1	1	1
K08676	1	1	1
K08679	1	1	1
K08680	1	1	1
K08682	1	1	1
K08713	1	1	1
K08720	2	3	3
K08722	1	1	1
K08723	1	1	1
K08968	1	1	1
K08983	1	1	1
K08988	1	1	1
K08990	1	1	1
K08992	1	1	1
K08993	1	1	1
K08997	1	1	1
K09001	1	1	1
K09012	1	1	1
K09021	1	1	1
K09022	3	4	4
K09117	1	1	1
K09125	1	1	1
K09131	1	1	1
K09136	1	1	1
K09158	1	1	1
K09159	1	1	1
K09160	1	1	1
K09161	1	1	1
K09181	1	1	1
K09458	1	1	1
K09471	4	4	4
K09472	1	1	1
K09699	1	1	1
K09701	1	1	1
K09702	1	1	1
K09710	1	1	1
K09747	1	1	1
K09748	1	1	1
K09749	1	1	1
K09760	1	1	1
K09761	1	1	1
K09767	1	1	1
K09768	1	1	1
K09773	1	1	1
K09774	1	1	1
K09780	1	1	1
K09781	1	1	1
K09786	1	1	1
K09790	1	1	1
K09791	1	1	1
K09792	1	1	1
K09794	1	1	1
K09796	1	1	1
K09800	1	1	1
K09801	1	1	1
K09802	1	1	1
K09806	1	1	1
K09807	1	1	1
K09808	2	2	2
K09810	2	2	2
K09811	1	1	1
K09812	1	1	1
K09815	1	1	1
K09816	1	1	1
K09817	1	1	1
K09823	1	1	1
K09824	2	2	2
K09857	1	1	1
K09859	1	1	1
K09860	1	1	1
K09861	1	1	1
K09862	1	1	1
K09888	1	1	1
K09889	1	1	1
K09890	1	1	1
K09891	1	1	1
K09892	1	1	1
K09893	1	1	1
K09894	1	1	1
K09895	1	1	1
K09896	1	1	1
K09897	1	1	1
K09898	1	1	1
K09899	1	1	1
K09900	1	1	1
K09901	2	2	2
K09902	1	1	1
K09903	1	1	1
K09904	1	1	1
K09907	1	1	1
K09908	1	1	1
K09909	2	2	2
K09910	1	1	1
K09913	1	1	1
K09915	1	1	1
K09916	1	1	1
K09918	1	1	1
K09920	1	1	1
K09921	1	1	1
K09922	1	1	1
K09923	1	1	1
K09926	1	1	1
K09927	1	1	1
K09928	2	2	2
K09929	1	1	1
K09930	2	2	2
K09933	1	1	1
K09937	1	1	1
K09938	1	1	1
K09939	1	1	1
K09945	2	1	1
K09950	1	1	1
K09954	1	1	1
K09962	1	1	1
K09973	1	1	1
K09975	1	1	1
K09983	1	1	1
K09989	1	1	1
K09994	1	1	1
K09998	1	1	1
K09999	1	1	1
K10000	1	1	1
K10022	2	2	2
K10023	1	1	1
K10024	1	1	1
K10026	1	1	1
K10108	1	1	1
K10109	1	1	1
K10110	1	1	1
K10111	1	1	1
K10117	1	1	1
K10123	1	1	1
K10439	1	1	1
K10440	1	1	1
K10441	1	1	1
K10536	3	1	1
K10540	1	1	1
K10541	1	1	1
K10542	1	1	1
K10563	1	1	1
K10680	1	1	1
K10716	1	1	1
K10748	1	1	1
K10763	1	1	1
K10773	1	1	1
K10778	1	1	1
K10804	1	1	1
K10805	1	1	1
K10806	2	2	2
K10829	1	1	1
K10834	1	1	1
K10906	2	1	1
K10912	1	1	1
K10913	1	1	1
K10914	1	1	1
K10925	2	2	2
K10926	1	1	1
K10927	1	1	1
K10941	1	1	1
K10942	1	1	1
K10943	2	2	2
K10952	1	0	0
K10954	1	1	1
K10974	1	1	1
K11021	0	1	1
K11023	0	1	1
K11041	1	1	1
K11065	1	1	1
K11066	1	1	1
K11068	1	1	1
K11069	1	1	1
K11070	2	2	2
K11071	2	2	2
K11072	1	1	1
K11073	3	2	2
K11074	1	1	1
K11075	1	1	1
K11076	1	1	1
K11085	1	1	1
K11103	1	1	1
K11105	2	2	2
K11107	1	1	1
K11175	1	1	1
K11179	1	1	1
K11183	1	1	1
K11200	1	1	1
K11203	1	1	1
K11206	1	1	1
K11209	1	1	1
K11211	1	1	1
K11249	2	1	1
K11258	0	1	1
K11391	1	1	1
K11392	1	1	1
K11418	1	1	1
K11527	1	1	1
K11530	1	1	1
K11535	1	1	1
K11538	1	1	1
K11616	1	1	1
K11717	1	1	1
K11719	1	1	1
K11720	1	1	1
K11734	1	1	1
K11739	0	1	1
K11740	0	1	1
K11742	1	1	1
K11743	1	1	1
K11747	1	1	1
K11748	1	1	1
K11749	1	1	1
K11750	1	1	1
K11751	3	3	3
K11752	1	1	1
K11753	1	1	1
K11754	1	1	1
K11755	1	1	1
K11891	1	1	1
K11892	1	1	1
K11893	1	1	1
K11894	1	1	1
K11895	1	1	1
K11896	1	1	1
K11900	1	1	1
K11901	1	1	1
K11903	5	3	3
K11904	6	4	4
K11905	1	1	1
K11906	1	1	1
K11907	1	1	1
K11908	1	1	1
K11909	1	1	1
K11910	1	1	1
K11911	1	1	1
K11921	2	2	2
K11922	1	1	1
K11925	1	1	1
K11926	1	1	1
K11927	4	4	4
K11928	1	1	1
K11930	1	1	1
K11931	1	1	1
K11933	1	1	1
K11935	1	1	1
K11936	1	1	1
K11991	1	1	1
K12056	0	1	1
K12057	0	1	1
K12058	0	1	1
K12059	0	1	1
K12060	0	1	1
K12061	0	1	1
K12063	0	1	1
K12064	0	1	1
K12065	0	1	1
K12066	0	1	1
K12067	0	1	1
K12068	0	1	1
K12072	0	1	1
K12111	1	1	1
K12112	1	1	1
K12113	1	1	1
K12136	1	1	1
K12137	1	1	1
K12138	1	1	1
K12143	1	1	1
K12149	1	1	1
K12152	1	1	1
K12251	1	0	0
K12254	1	1	1
K12256	1	1	1
K12262	2	1	1
K12276	1	1	1
K12278	1	1	1
K12279	2	2	2
K12280	1	1	1
K12281	1	1	1
K12282	1	1	1
K12283	1	1	1
K12284	1	1	1
K12285	1	1	1
K12286	1	1	1
K12287	1	1	1
K12297	1	1	1
K12340	2	2	2
K12373	2	2	2
K12410	1	1	1
K12524	1	1	1
K12525	1	1	1
K12527	1	1	1
K12528	1	1	1
K12529	1	1	1
K12541	1	1	1
K12542	1	1	1
K12543	1	1	1
K12573	1	1	1
K12700	1	0	0
K12940	1	1	1
K12942	1	1	1
K12972	1	1	1
K12976	1	1	1
K12982	1	1	1
K12984	1	1	1
K13001	0	1	1
K13002	0	1	1
K13010	0	1	1
K13012	1	1	1
K13038	1	1	1
K13283	2	2	2
K13288	1	1	1
K13292	1	1	1
K13378	1	1	1
K13381	0	1	1
K13479	1	1	1
K13480	1	1	1
K13498	1	1	1
K13529	1	1	1
K13590	2	3	3
K13628	1	1	1
K13629	1	1	1
K13633	1	1	1
K13634	2	2	2
K13635	0	1	1
K13636	1	1	1
K13638	1	1	1
K13643	1	1	1
K13652	2	2	2
K13694	2	1	1
K13695	1	1	1
K13766	1	1	1
K13771	2	2	2
K13788	1	1	1
K13821	1	1	1
K13888	1	1	1
K13894	1	1	1
K13895	1	1	1
K13936	1	1	1
K13938	1	1	1
K13954	1	1	1
K14016	1	1	1
K14052	2	2	2
K14055	1	1	1
K14056	2	2	2
K14058	1	1	1
K14059	2	1	1
K14060	1	2	2
K14153	1	1	1
K14155	2	4	4
K14170	1	1	1
K14187	1	1	1
K14205	1	1	1
K14260	1	1	1
K14347	1	1	1
K14392	1	1	1
K14393	1	1	1
K14441	1	1	1
K14445	2	2	2
K14540	1	1	1
K14652	1	1	1
K14657	2	1	1
K14682	1	1	1
K14683	1	1	1
K14742	1	1	1
K14761	1	1	1
K15034	1	1	1
K15125	1	0	0
K15126	1	1	1
K15256	1	1	1
K15257	1	1	1
K15268	1	1	1
K15269	0	1	1
K15270	2	2	2
K15368	1	1	1
K15371	1	1	1
K15396	1	1	1
K15460	1	1	1
K15461	1	1	1
K15524	1	1	1
K15536	1	1	1
K15537	1	1	1
K15539	1	1	1
K15545	1	1	1
K15580	4	4	4
K15581	1	1	1
K15582	1	1	1
K15583	1	1	1
K15633	1	1	1
K15723	1	1	1
K15724	1	1	1
K15735	1	1	1
K15738	1	1	1
K15771	1	1	1
K15773	0	1	1
K15777	1	1	1
K15832	1	1	1
K15834	1	0	0
K15836	1	1	1
K15852	3	3	3
K15894	1	1	1
K15898	0	1	1
K15899	1	1	1
K15977	3	3	3
K15984	1	1	1
K15986	1	1	1
K16011	0	1	1
K16012	1	1	1
K16013	1	1	1
K16044	1	1	1
K16053	1	1	1
K16066	1	1	1
K16074	1	1	1
K16077	1	1	1
K16087	1	1	1
K16089	2	2	2
K16092	1	1	1
K16135	1	1	1
K16136	1	1	1
K16137	1	1	1
K16171	1	1	1
K16263	1	1	1
K16264	0	1	1
K16322	1	1	1
K16328	1	1	1
K16329	1	1	1
K16345	1	1	1
K16346	1	1	1
K16371	0	1	1
K16554	1	0	0
K16568	1	1	1
K16636	1	1	1
K16869	1	1	1
K16872	1	1	1
K16950	1	1	1
K16951	1	1	1
K16961	1	1	1
K16962	1	1	1
K16963	1	1	1
K17218	1	1	1
K17230	2	2	2
K17247	1	1	1
K17290	1	1	1
K17315	1	1	1
K17463	1	1	1
K17467	1	0	0
K17686	1	1	1
K17713	1	1	1
K17758	1	1	1
K17836	0	0	1
K17837	1	1	1
K18098	2	2	2
K18136	1	1	1
K18138	7	7	7
K18139	1	1	1
K18143	1	1	1
K18144	1	1	1
K18145	1	1	1
K18146	1	1	1
K18189	1	1	1
K18218	1	1	1
K18234	1	1	1
K18301	1	1	1
K18326	1	1	1
K18367	1	1	1
K18446	1	1	1
K18555	1	1	1
K18575	1	1	1
K18588	1	1	1
K18640	1	1	1
K18657	1	1	1
K18676	1	1	1
K18691	2	2	2
K18697	2	2	2
K18698	0	0	1
K18765	3	3	3
K18778	1	1	1
K18800	1	1	1
K18816	1	0	0
K18828	0	1	1
K18829	1	1	1
K18831	1	1	1
K18838	2	2	2
K18850	1	1	1
K18889	1	1	1
K18890	1	1	1
K18900	1	1	1
K18918	0	1	1
K18923	0	1	1
K18927	1	1	1
K18967	1	1	1
K18979	1	1	1
K19000	1	1	1
K19055	2	2	2
K19068	1	0	0
K19092	0	3	3
K19113	1	1	1
K19147	0	1	1
K19213	1	1	1
K19222	1	1	1
K19226	1	1	1
K19227	1	1	1
K19228	1	1	1
K19229	1	1	1
K19230	1	1	1
K19235	2	2	2
K19236	1	1	1
K19270	1	1	1
K19285	1	1	1
K19302	1	2	2
K19304	3	3	3
K19333	1	0	0
K19334	2	1	1
K19337	1	1	1
K19416	1	1	1
K19577	1	1	1
K19591	1	1	1
K19694	1	1	1
K19745	1	1	1
K19789	1	1	1
K19803	1	1	1
K19804	1	1	1
K20034	1	1	1
K20265	3	3	3
K20276	1	1	1
K20534	1	1	1
K20755	1	1	1
K20801	1	1	1
K20862	1	1	1
K20881	1	1	1
K20918	1	1	1
K20920	1	0	0
K20968	1	1	1
K20974	2	2	2
K20975	1	1	1
K20976	1	1	1
K20988	1	0	0
K21021	1	1	1
K21022	1	1	1
K21024	1	1	1
K21028	1	1	1
K21029	2	2	2
K21053	1	1	1
K21064	4	3	3
K21088	2	2	2
K21217	1	1	1
K21218	1	1	1
K21405	1	1	1
K21420	1	1	1
K21429	1	0	0
K21470	1	1	1
K21498	0	1	1
K21606	1	1	1
K21636	1	1	1
K21695	0	1	1
K21698	1	1	1
K21712	1	1	1
K21741	1	0	0
K21757	1	1	1
K21900	1	1	1
K21929	1	1	1
K21936	1	1	1
K21964	1	0	0
K21965	2	1	1
K21966	2	2	2
K21973	1	1	1
K22015	1	1	1
K22042	2	2	2
K22105	1	1	1
K22106	1	1	1
K22132	1	1	1
K22205	1	1	1
K22278	1	1	1
K22292	1	1	1
K22302	1	0	0
K22314	1	1	1
K22450	1	1	1
K22452	1	1	1
K22468	1	1	1
K22491	1	1	1
K22719	1	1	1
K22900	1	1	1
K23010	1	1	1
K23163	0	1	1
K23187	1	1	1
K23227	1	1	1
K23228	1	1	1
K23239	1	1	1
K23240	1	1	1
K23349	1	1	1
K23475	1	1	1
K23476	1	1	1
K23504	1	0	0
K23535	1	1	1
K23536	1	1	1
K23537	1	1	1
K23541	1	1	1
K23773	1	1	1
K23777	1	1	1
K23779	1	1	1
K23997	1	1	1
K24118	1	1	1
K24119	1	1	1
K24138	1	1	1
K24160	1	1	1
K24180	1	1	1
K24204	1	1	1
K24206	1	1	1
K24258	1	0	0
K24300	1	1	1
K24310	1	1	1
K24344	1	1	1
K24843	1	1	1
K24844	1	1	1
K24845	1	1	1
K24847	1	1	1
K24866	3	2	2
K25026	1	1	1
K25132	1	1	1
K25133	1	1	1
K25135	3	3	3
K25181	0	1	1
K25182	0	1	1
K25183	0	1	1
K25227	1	1	1
K25316	1	1	1
K25317	1	1	1
K25422	1	1	1
K25590	1	1	1
K25706	1	1	1
K26057	1	1	1
K26063	1	1	1
K26148	2	3	3
K26604	1	1	1
K26605	0	1	1
K26606	0	1	1
K26607	2	2	2
K26913	1	1	1
K26937	6	6	6
K26939	1	1	1
K27604	0	1	1
K27835	1	1	1
K27882	1	1	1
K27883	1	1	1
K27884	1	1	1
K27885	1	1	1
K28138	1	1	1
K28165	1	1	1
K28186	0	1	1
K28207	1	1	1
K28223	0	1	1
K28224	1	1	1
K28369	1	1	1
K28370	1	1	1
K28462	1	1	1
